# Shared editor capability matrix.
#
# `supported` peers participate in the feature conformance test.
# `conditional` peers participate and must advertise the feature, but runtime
# availability may depend on the host platform.
# `staged` peers are explicitly excluded until their implementation and receipts
# are complete; they must not advertise the capability early.
#
# feature	core	jetbrains	vscode	zed
operator_text_authority_v1	required	supported	supported	staged
lazily_transport_receipts_v1	required	supported	supported	staged
typed_editor_intents_v1	optional	staged	staged	staged
lossless_tree_crdt_v1	optional	supported	staged	staged
peer_replica_pull_v1	optional	supported	supported	staged
native_hot_reload_generation_v1	optional	conditional	staged	staged
cross_editor_native_harness_v1	optional	supported	supported	staged
